jahr_an_anno,plz_npa,ga_ag,ga_ag_flag,hta_adt_meta_prezzo,hta_adt_meta_prezzo_flag,bevolkerung,anteil_ga_besitzer,anteil_hta_besitzer_
2012,1926,304.0,,1159.0,,7974.0,3.8123902683722095,14.534737898169048
2012,1945,23.0,,85.0,,729.0,3.1550068587105624,11.659807956104252
2012,1946,9.941908713692946,1.0,20.0,,198.0,5.02116601701664,10.101010101010102
2012,1955,94.0,,498.0,,3034.0,3.0982201713909028,16.413974950560316
2012,1958,114.0,,808.0,,3665.0,3.110504774897681,22.046384720327424
2012,1961,9.941908713692946,1.0,53.0,,174.0,5.713740640053417,30.459770114942526
2012,1971,119.0,,775.0,,2966.0,4.0121375590020225,26.129467296021577
2012,1974,48.0,,280.0,,1109.0,4.328223624887286,25.247971145175836
2012,1976,51.0,,370.0,,2222.0,2.295229522952295,16.65166516651665
2012,1981,42.0,,302.0,,1423.0,2.9515108924806746,21.22276879831342
2012,1996,82.0,,453.0,,2617.0,3.1333588077951853,17.3098968284295
2012,2000,2459.0,,9370.0,,33190.0,7.40885808978608,28.231394998493524
2012,2022,81.0,,679.0,,3811.0,2.1254263972710574,17.816845972185778
2012,2025,24.0,,192.0,,887.0,2.705749718151071,21.645997745208568
2012,2037,37.0,,234.0,,992.0,3.729838709677419,23.588709677419352
2012,2056,8.466666666666667,1.0,250.0,,1450.0,0.5839080459770115,17.241379310344826
2012,2114,52.0,,486.0,,3551.0,1.4643762320473106,13.686285553365249
2012,2116,0.0,,11.434426229508198,2.0,79.0,0.0,14.473957252542023
2012,2126,8.466666666666667,1.0,79.0,,693.0,1.2217412217412216,11.399711399711398
2012,2149,8.466666666666667,1.0,32.0,,106.0,7.987421383647799,30.18867924528302
2012,2206,55.0,,276.0,,1611.0,3.414028553693358,17.13221601489758
2012,2333,8.466666666666667,1.0,91.0,,641.0,1.3208528341133645,14.19656786271451
2012,2336,8.466666666666667,1.0,192.0,,1141.0,0.7420391469471225,16.827344434706397
2012,2345,33.0,,250.0,,1685.0,1.9584569732937687,14.836795252225519
2012,2360,8.466666666666667,1.0,26.0,,313.0,2.7050053248136314,8.30670926517572
2012,2362,8.466666666666667,1.0,92.0,,575.0,1.472463768115942,16.0
2012,2363,8.466666666666667,1.0,11.434426229508198,2.0,140.0,6.0476190476190474,8.16744730679157
2012,2517,8.466666666666667,1.0,88.0,,439.0,1.9286256643887623,20.045558086560362
2012,2523,8.466666666666667,1.0,166.0,,1026.0,0.825211176088369,16.17933723196881
2012,2525,148.0,,875.0,,4420.0,3.3484162895927603,19.79638009049774
2012,2537,8.466666666666667,1.0,73.0,,206.0,4.110032362459547,35.43689320388349
2012,2540,892.0,,4279.0,,16173.0,5.515365114697335,26.45767637420392
2012,2553,88.0,,586.0,,1854.0,4.746494066882416,31.60733549083064
2012,2563,329.0,,1542.0,,3946.0,8.337557019766853,39.077546882919414
2012,2564,117.0,,553.0,,1426.0,8.20476858345021,38.77980364656381
2012,2603,63.0,,321.0,,1367.0,4.608632040965618,23.48207754206291
2012,2606,39.0,,332.0,,1541.0,2.5308241401687215,21.54445165476963
2012,2608,62.0,,281.0,,1275.0,4.862745098039215,22.03921568627451
2012,2613,22.0,,214.0,,877.0,2.508551881413911,24.401368301026228
2012,2615,29.0,,173.0,,1012.0,2.8656126482213438,17.09486166007905
2012,2718,8.466666666666667,1.0,94.0,,691.0,1.225277375783888,13.603473227206946
2012,2722,8.466666666666667,1.0,64.0,,451.0,1.877309682187731,14.19068736141907
2012,2742,8.466666666666667,1.0,69.0,,441.0,1.9198790627362057,15.646258503401361
2012,2743,8.466666666666667,1.0,64.0,,366.0,2.313296903460838,17.48633879781421
2012,2805,28.0,,86.0,,483.0,5.797101449275362,17.80538302277433
2012,2813,8.466666666666667,1.0,11.434426229508198,2.0,141.0,6.004728132387707,8.109522148587374
2012,2814,8.466666666666667,1.0,31.0,,287.0,2.9500580720092917,10.801393728222997
2012,2883,0.0,,11.434426229508198,2.0,164.0,0.0,6.972211115553779
2012,2888,8.466666666666667,1.0,11.434426229508198,2.0,70.0,12.095238095238095,16.33489461358314
2012,2902,8.466666666666667,1.0,151.0,,1042.0,0.8125399872040947,14.491362763915546
2012,2906,8.466666666666667,1.0,87.0,,663.0,1.2770236299648063,13.122171945701357
2012,2912,8.466666666666667,1.0,22.0,,210.0,4.031746031746032,10.476190476190476
2012,2932,8.466666666666667,1.0,72.0,,701.0,1.2077983832620067,10.271041369472183
2012,2935,8.466666666666667,1.0,11.434426229508198,2.0,134.0,6.318407960199005,8.533153902618059
2012,3006,3293.0,,8676.0,,17561.0,18.751779511417347,49.40493138203975
2012,3012,3540.0,,6405.0,,13334.0,26.548672566371682,48.035098245087745
2012,3015,451.0,,1027.0,,2696.0,16.72848664688427,38.09347181008902
2012,3074,789.0,,3045.0,,6107.0,12.919600458490256,49.86081545767152
2012,3076,502.0,,2626.0,,6659.0,7.538669469890373,39.435350653251234
2012,3113,245.0,,1279.0,,2912.0,8.413461538461538,43.9217032967033
2012,3122,311.0,,1608.0,,4144.0,7.504826254826255,38.803088803088805
2012,3123,830.0,,4211.0,,10587.0,7.839803532634363,39.77519599508832
2012,3154,46.0,,236.0,,1186.0,3.8785834738617204,19.898819561551434
2012,3155,11.21951219512195,1.0,83.0,,401.0,2.797883340429414,20.698254364089777
2012,3158,24.0,,146.0,,673.0,3.566121842496285,21.693907875185737
2012,3173,77.0,,541.0,,1448.0,5.31767955801105,37.36187845303868
2012,3182,91.0,,615.0,,2415.0,3.7681159420289854,25.46583850931677
2012,3185,303.0,,1000.0,,3997.0,7.5806855141356015,25.01876407305479
2012,3204,40.0,,352.0,,993.0,4.028197381671702,35.448136958710975
2012,3205,67.0,,359.0,,1051.0,6.37488106565176,34.15794481446242
2012,3210,493.0,,1343.0,,4771.0,10.333263466778453,28.14923496122406
2012,3251,29.0,,204.0,,820.0,3.5365853658536586,24.878048780487806
2012,3263,33.0,,243.0,,799.0,4.1301627033792245,30.413016270337923
2012,3264,36.0,,278.0,,915.0,3.9344262295081966,30.382513661202186
2012,3266,11.21951219512195,1.0,188.0,,603.0,1.8606156210815838,31.177446102819236
2012,3273,53.0,,397.0,,1319.0,4.018195602729341,30.098559514783926
2012,3282,46.0,,334.0,,972.0,4.732510288065844,34.36213991769547
2012,3285,28.0,,138.0,,635.0,4.409448818897638,21.73228346456693
2012,3298,23.0,,254.0,,804.0,2.8606965174129355,31.592039800995025
2012,3303,588.0,,2424.0,,5972.0,9.84594775619558,40.589417280643005
2012,3305,11.21951219512195,1.0,173.0,,488.0,2.299080367852859,35.450819672131146
2012,3324,202.0,,826.0,,2223.0,9.086819613135402,37.1569950517319
2012,3360,686.0,,1903.0,,5877.0,11.672622086098349,32.38046622426408
2012,3362,138.0,,561.0,,1550.0,8.903225806451612,36.193548387096776
2012,3363,79.0,,294.0,,991.0,7.971745711402623,29.667003027245208
2012,3365,58.0,,299.0,,1061.0,5.466540999057493,28.18096135721018
2012,3377,11.21951219512195,1.0,119.0,,573.0,1.9580300515047033,20.767888307155324
2012,3413,11.21951219512195,1.0,143.0,,496.0,2.261998426435877,28.83064516129032
2012,3419,11.21951219512195,1.0,86.0,,470.0,2.3871302542812662,18.29787234042553
2012,3452,48.0,,216.0,,750.0,6.4,28.8
2012,3456,11.21951219512195,1.0,42.0,,159.0,7.056296978064119,26.41509433962264
2012,3463,11.21951219512195,1.0,65.0,,336.0,3.3391405342624854,19.345238095238095
2012,3475,11.21951219512195,1.0,97.0,,325.0,3.452157598499062,29.846153846153847
2012,3476,11.21951219512195,1.0,93.0,,421.0,2.664967267249869,22.090261282660332
2012,3504,50.0,,280.0,,901.0,5.549389567147614,31.076581576026637
2012,3510,602.0,,2237.0,,5245.0,11.47759771210677,42.65014299332698
2012,3513,26.0,,137.0,,577.0,4.506065857885615,23.743500866551127
2012,3531,23.0,,161.0,,648.0,3.5493827160493825,24.845679012345677
2012,3543,11.21951219512195,1.0,143.0,,541.0,2.0738469861593254,26.432532347504623
2012,3617,40.0,,209.0,,847.0,4.7225501770956315,24.675324675324678
2012,3618,11.21951219512195,1.0,85.0,,626.0,1.792254344268682,13.578274760383387
2012,3619,11.21951219512195,1.0,111.0,,537.0,2.0892946359631193,20.670391061452513
2012,3623,11.21951219512195,1.0,83.0,,421.0,2.664967267249869,19.714964370546316
2012,3629,140.0,,607.0,,1766.0,7.927519818799547,34.37146092865232
2012,3633,52.0,,260.0,,804.0,6.467661691542289,32.33830845771144
2012,3646,122.0,,443.0,,1141.0,10.692375109553025,38.82559158632778
2012,3653,282.0,,1162.0,,2313.0,12.19195849546044,50.23778642455685
2012,3657,21.0,,151.0,,615.0,3.4146341463414633,24.552845528455283
2012,3664,95.0,,348.0,,1190.0,7.983193277310925,29.2436974789916
2012,3671,78.0,,318.0,,1102.0,7.078039927404719,28.85662431941924
2012,3702,81.0,,248.0,,645.0,12.55813953488372,38.44961240310077
2012,3715,225.0,,987.0,,3482.0,6.461803561171741,28.345778288340036
2012,3717,11.21951219512195,1.0,38.0,,164.0,6.841165972635335,23.170731707317074
2012,3723,11.21951219512195,1.0,81.0,,254.0,4.417130785481083,31.88976377952756
2012,3764,24.0,,98.0,,440.0,5.454545454545454,22.272727272727273
2012,3770,207.0,,818.0,,2394.0,8.646616541353383,34.168755221386796
2012,3772,50.0,,227.0,,824.0,6.067961165048544,27.54854368932039
2012,3775,146.0,,714.0,,2459.0,5.937372915819439,29.03619357462383
2012,3816,11.21951219512195,1.0,88.0,,384.0,2.921747967479675,22.916666666666668
2012,3823,38.0,,720.0,,932.0,4.07725321888412,77.25321888412017
2012,3860,239.0,,1780.0,,4944.0,4.834142394822006,36.00323624595469
2012,3863,11.21951219512195,1.0,77.0,,227.0,4.942516385516278,33.920704845814974
2012,3900,705.0,,2324.0,,4847.0,14.545079430575614,47.94718382504642
2012,3906,140.0,,805.0,,1707.0,8.201523140011716,47.15875805506737
2012,3908,34.0,,120.0,,399.0,8.521303258145362,30.075187969924812
2012,3912,76.0,,317.0,,821.0,9.25700365408039,38.61144945188794
2012,3923,46.0,,230.0,,484.0,9.50413223140496,47.5206611570248
2012,3930,914.0,,3242.0,,7281.0,12.553220711440737,44.52685070732042
2012,3934,42.0,,134.0,,268.0,15.671641791044777,50.0
2012,3935,81.0,,322.0,,724.0,11.187845303867404,44.47513812154696
2012,3947,26.0,,54.0,,202.0,12.871287128712872,26.73267326732673
2012,3955,25.0,,90.0,,268.0,9.328358208955224,33.582089552238806
2012,3956,46.0,,168.0,,443.0,10.383747178329571,37.92325056433408
2012,3960,737.0,,3574.0,,14331.0,5.1426976484544,24.93894354894983
2012,3966,67.0,,491.0,,2708.0,2.4741506646971936,18.131462333825702
2012,3971,104.0,,401.0,,1716.0,6.0606060606060606,23.36829836829837
2012,3974,63.0,,204.0,,839.0,7.508939213349225,24.31466030989273
2012,3994,26.0,,140.0,,311.0,8.360128617363344,45.01607717041801
2012,4001,48.0,,256.0,,274.0,17.51824817518248,93.43065693430657
2012,4056,1201.0,,6344.0,,20404.0,5.8861007645559695,31.09194275632229
2012,4105,114.0,,1109.0,,3182.0,3.5826524198617222,34.852294154619734
2012,4112,41.0,,619.0,,2229.0,1.8393898609241814,27.77030058322118
2012,4114,34.0,,531.0,,2069.0,1.6433059449009182,25.66457225712905
2012,4116,10.5,1.0,166.0,,736.0,1.4266304347826086,22.554347826086957
2012,4143,252.0,,2203.0,,6325.0,3.9841897233201577,34.830039525691696
2012,4207,10.5,1.0,131.0,,765.0,1.3725490196078431,17.124183006535947
2012,4222,33.0,,406.0,,2180.0,1.5137614678899083,18.623853211009177
2012,4223,10.5,1.0,199.0,,675.0,1.5555555555555554,29.48148148148148
2012,4225,25.0,,263.0,,1600.0,1.5625,16.4375
2012,4228,10.5,1.0,165.0,,893.0,1.175811870100784,18.477043673012318
2012,4229,0.0,,48.0,,292.0,0.0,16.43835616438356
2012,4252,10.5,1.0,157.0,,821.0,1.2789281364190013,19.12302070645554
